,,,综合得分,国际学生占比,国际教师比例,师生比,每位教员引用率,学术声誉,雇主声誉
1020,1001-1200,伯拉科技学院,-,2.3,1.1,7.6,19.6,7,12.9
1021,1001-1200,伯明翰城市大学,-,74.9,20.9,10.1,2.9,5,6.1
1022,1001-1200,杨百翰大学,-,3.9,1,4.8,17.4,7.5,9.1
1023,1001-1200,埃及不列颠大学,-,3.1,1.3,18.7,1.9,4.2,3.5
1024,1001-1200,Brock University,-,21.7,1.2,2.6,23.9,3.1,10.9
1025,1001-1200,COMSATS信息技术研究所,-,1.7,1.2,12.8,11.3,8.9,17.9
1026,1001-1200,坎特伯雷基督教大学,-,25.9,18.3,10,3.9,6.8,2
1027,1001-1200,科尔多瓦天主教大学,-,3.9,1.3,23,1.2,4.3,2.9
1028,1001-1200,长荣大学,-,5.3,2.3,39.1,1.9,3.9,2.7
1029,1001-1200,中国政法大学,-,5.7,4.8,15,1.2,5.2,9.5
1030,1001-1200,中原基督教大学,-,10.4,1.9,5.1,14,4.6,4.5
1031,1001-1200,忠北国立大学,-,6.5,2.1,28.4,7.9,3.8,3
1032,1001-1200,蒂波尼格罗大学,-,2.2,10.8,10.6,1.4,14.2,17.5
1033,1001-1200,同志社大学,-,4.4,8.3,6,2.3,8.6,15
1034,1001-1200,爱琴海大学,-,4,1,15.9,3.2,6.9,7.1
1035,1001-1200,国立理工学院,-,1.6,2.6,27.5,3,5.7,9.3
1036,1001-1200,高等政治学院（ESPOL）,-,1.6,7.2,15.6,2.3,9.5,13.6
1037,1001-1200,逢甲大学,-,9.8,1.5,5,9.6,6.9,7.5
1038,1001-1200,佛罗里达大西洋大学,-,4.9,2.8,6.7,12.1,5.1,6.7
1039,1001-1200,辅仁大学,-,17.9,2.7,7.4,6.4,6.7,8
1040,1001-1200,加兹大学,-,2.9,1.3,4.7,3.9,11.1,7.9
1041,1001-1200,格拉斯哥卡利多尼安大学,-,44,17.6,5.5,9.2,4.6,6.4
1042,1001-1200,哈珀亚当斯大学学院,-,15.5,11.3,7.1,10.3,3.9,21.5
1043,1001-1200,伊玛目穆罕默德·本·沙特伊斯兰大学,-,13.4,27,11.8,1.4,4.7,2.7
1044,1001-1200,印度信息技术研究所（IIIT）-安拉哈巴德省,-,2,1.1,13.6,14.3,3.4,5
1045,1001-1200,伊尔库茨克州立大学,-,5.2,1.2,29.4,1.5,3.5,1.7
1046,1001-1200,伊斯坦布尔艾登大学,-,55.3,3.4,14.4,1.4,3.2,2.8
1047,1001-1200,伊斯坦布尔Bilgi大学,-,16.9,2.2,15,2.1,3.7,5.5
1048,1001-1200,伊凡弗兰柯利沃夫国立大学,-,2,1.1,35.4,1.5,1,5.7
1049,1001-1200,伊兹密尔技术学院（IYTE）,-,3.6,1.7,6.1,13.8,4.8,2.4
1050,1001-1200,贾米亚·哈姆达德，新德里,-,4.3,na,11,12.5,4.3,2.8
1051,1001-1200,济州国立大学,-,6.2,1.3,24.9,3.5,3.2,2
1052,1001-1200,江原大学,-,2.9,1.8,17,12.2,4,4.6
1053,1001-1200,肯特州立大学,-,7.3,6.5,7.2,26.1,6.3,5.4
1054,1001-1200,先皇技术学院,-,1.8,3.6,5.1,3.2,7.9,16.9
1055,1001-1200,国民大学,-,28.7,2,25.2,4.3,3.8,3.7
1056,1001-1200,科威特大学,-,28.4,19.3,5.1,3.4,11.8,6.9
1057,1001-1200,利兹贝克特大学,-,11.2,23.6,6.9,6.2,4.6,12.2
1058,1001-1200,马克雷雷大学,-,9.7,3.7,3.9,4.9,9.4,8.3
1059,1001-1200,马凯特大学,-,3.6,2,25.8,8.1,3.3,4.7
1060,1001-1200,明治大学,-,5.2,1.7,5.5,2,6.9,19.2
1061,1001-1200,迈阿密大学（俄亥俄）,-,22.2,2.3,9.3,10.3,4.2,7.1
1062,1001-1200,密西西比州立大学,-,3.9,3.4,10.2,20.9,5.6,9.3
1063,1001-1200,多媒体大学（MMU）,-,16.6,4.6,16.2,6.7,7.4,17
1064,1001-1200,穆斯林西里大学,-,4.2,3.6,29,1.2,3,5.7
1065,1001-1200,慕达大学,-,40.8,2.8,8.3,1.5,4.6,4.6
1066,1001-1200,名古屋工业大学(NIT),-,5.3,2,5.9,22.1,5.4,3.2
1067,1001-1200,国立东华大学,-,11,1.4,9.1,8.2,5.4,2.6
1068,1001-1200,台湾海洋大学,-,8.3,1.7,15,11.9,5.4,2.6
1069,1001-1200,基辅-莫伊拉学院国立大学,-,1.4,1.2,32.7,1.3,4.8,11.1
1070,1001-1200,南北大学,-,2.7,4.9,4.7,1.7,10.9,32.7
1071,1001-1200,西北大学,-,3.2,1.5,8.2,10.3,6.6,9.1
1072,1001-1200,北亚利桑那大学,-,5,1.3,5.9,12.4,6.8,6.1
1073,1001-1200,海得拉巴奥斯曼尼亚大学,-,7,na,4,16.6,4.4,3.6
1074,1001-1200,俄亥俄大学,-,4.5,2,6.4,18,9.2,12.7
1075,1001-1200,班贾布大学,-,1.1,na,4.6,15.1,5.2,3.6
1076,1001-1200,蒙彼利埃第三大学,-,39.1,2,3.8,1.5,12.8,2.5
1077,1001-1200,厄瓜多尔天主教大学,-,1.5,7.4,12.6,1.3,13,14.2
1078,1001-1200,里奥格兰德天主教大学,-,1.5,1.7,7.8,8.5,7,5.3
1079,1001-1200,波特兰州立大学,-,8.1,1,9.8,12.9,4.7,3.8
1080,1001-1200,釜庆大学,-,7.4,1.9,7.2,12,5.1,3.1
1081,1001-1200,立教大学,-,7.3,10.3,17.3,2.7,3.6,9.3
1082,1001-1200,罗彻斯特理工大学(RIT),-,19.9,1.9,23.1,9.2,4.9,7.6
1083,1001-1200,俄罗斯国立人文大学RGGU,-,5.1,1.1,21,1.3,4.4,2.4
1084,1001-1200,圣彼得堡矿业大学,-,16.6,2.8,32.9,2.2,3.4,3.6
1085,1001-1200,埼玉大学,-,6.9,3.9,17.4,21.2,3.5,2.1
1086,1001-1200,哈萨克农业大学,-,5.3,3.3,20.8,1.2,5.7,4
1087,1001-1200,圣地亚哥州立大学,-,7.8,1.8,3.5,23.4,4.6,4.2
1088,1001-1200,国立首尔科学技术大学,-,7.5,2.8,8.3,11.4,6.3,3.7
1089,1001-1200,德黑兰沙希德·贝什蒂大学,-,1.9,1.1,4.7,23.7,8.2,6.4
1090,1001-1200,上海外国语大学,-,33.6,14.9,21.7,1.5,4.7,2.3
1091,1001-1200,谢菲尔德哈勒姆大学,-,21,13.8,11.3,5.2,7.1,15.9
1092,1001-1200,西伯利亚联邦大学,-,13.2,32.8,10.1,2.7,7.3,4
1093,1001-1200,斯洛伐克农业大学，尼特拉,-,3.1,3.1,19.7,3.9,3.4,3.6
1094,1001-1200,淑明女子大学,-,1.7,2.2,25.2,4.4,3.7,5
1095,1001-1200,苏伊士运河大学,-,1.7,1.1,25.5,2.2,3.2,2.5
1096,1001-1200,泰拜大学,-,2.7,99.5,5.5,2.5,4.2,1.7
1097,1001-1200,塔林大学,-,23.7,24,8.1,11.6,8.2,7.4
1098,1001-1200,卢布林技术大学,-,13.2,na,19.4,5.8,4,1.6
1099,1001-1200,工程电信学院,-,2.4,4.8,24,1.3,5,6.2
1100,1001-1200,塔帕尔大学,-,1.9,1.9,8.7,34.3,1.9,3.5
1101,1001-1200,俄罗斯赫尔辛国立教育大学,-,44.3,1.1,29.8,1.2,3.4,1.9
1102,1001-1200,奥西耶克大学,-,na,na,34.8,2.7,3.3,1.3
1103,1001-1200,别尔哥罗德国立大学,-,46.9,1.2,29.3,2.3,3.3,1.1
1104,1001-1200,拉合尔大学,-,2.3,1.3,14.8,1.7,8.3,12.7
1105,1001-1200,北安普顿大学,-,89.4,24.2,9,3.5,3.4,3.2
1106,1001-1200,德克萨斯大学阿灵顿大学,-,23.3,1.6,5,13,6.6,6.5
1107,1001-1200,东海大学（日本）,-,3.6,2.2,17.1,3.6,11.2,7.5
1108,1001-1200,托马斯拔佳大学，兹林,-,22.5,7.8,16.7,7.8,4,10.8
1109,1001-1200,孙德胜大学,-,1.9,46.1,8.4,6.6,6.2,7.1
1110,1001-1200,安德烈斯·贝洛大学-UNAB,-,2,2.7,5.7,2.7,9.2,15.6
1111,1001-1200,智利南方大学,-,2.2,6.7,3.9,7,15.3,14.2
1112,1001-1200,新莱昂自治大学（UANL）,-,1.2,1.4,3,1.9,16.1,18.1
1113,1001-1200,厄瓜多尔中央大学,-,na,na,11.9,1.2,8.3,8.6
1114,1001-1200,桑坦德工业大学,-,1.4,1.9,5.2,2.9,10.1,30.3
1115,1001-1200,委内瑞拉都会大学,-,1.4,5.3,6.4,1.1,7.7,20.7
1116,1001-1200,国立农业大学,-,2.5,1.9,20.3,1.5,6.6,11.3
1117,1001-1200,库约国立大学,-,16.4,1.1,17.8,1.6,12.1,7.6
1118,1001-1200,马德普拉塔国立大学,-,na,na,9.4,3.5,9.8,3.2
1119,1001-1200,里奥夸尔托国立大学,-,na,na,39.9,1.6,4.8,1.1
1120,1001-1200,圣马丁全国大学（UNSAM）,-,5.2,2.9,9.3,2.5,9.7,3.7
1121,1001-1200,亚松森国立大学,-,1.6,na,22.6,1.1,5.7,6.9
1122,1001-1200,哥斯达黎加国立大学,-,2.9,3.8,17.9,1.5,9.6,22.6
1123,1001-1200,秘鲁应用科技大学,-,2.4,4.4,4.8,1.2,7.8,30
1124,1001-1200,胡安卡洛斯国王大学,-,18.6,4,5.7,4.5,7.3,10.2
1125,1001-1200,哈瓦那科技大学,-,5.3,1.4,18.8,1.1,6.2,1.2
1126,1001-1200,卡斯蒂利亚-拉曼恰大学,-,4.4,1.2,18.3,11,8.4,2.1
1127,1001-1200,科尔多瓦大学,-,na,na,2.9,1.6,15.9,3.9
1128,1001-1200,拉弗龙特拉大学(UFRO),-,1.3,2.6,3.2,11.5,8.3,5.9
1129,1001-1200,利马大学,-,2.2,1.7,5,1,9.5,36.4
1130,1001-1200,蒙特雷大学,-,1.9,4.1,12.1,1.4,11.2,13.8
1131,1001-1200,波多黎各大学,-,1.5,1.8,7.4,3.9,10.5,8.1
1132,1001-1200,塔尔卡大学,-,1.4,9.4,6.3,5.9,10.3,12.1
1133,1001-1200,瓦尔帕莱索大学,-,1.6,2.5,10.7,3.3,9.6,10.1
1134,1001-1200,德拉斯洛罗大学,-,2,2.7,13.4,2.5,5.5,18.8
1135,1001-1200,城北大学,-,1.3,3.9,12.2,2.4,9,29.6
1136,1001-1200,太平洋大学,-,1.3,4.9,4.2,2.4,7.8,38.2
1137,1001-1200,弗鲁米嫩塞联邦大学,-,1.7,2,14.3,3.7,8.4,3.4
1138,1001-1200,巴伊亚联邦大学,-,1.6,2,10.6,3.3,8.2,3.1
1139,1001-1200,茹伊斯迪福拉联邦大学,-,na,na,35.7,3.1,3.5,3
1140,1001-1200,佩洛塔斯联邦大学,-,na,na,30.9,6.1,3.5,1.4
1141,1001-1200,维索萨联邦大学,-,2,1.4,15.8,8.5,4.9,2.4
1142,1001-1200,塞阿拉联邦大学（UFC）,-,1.5,1.4,13.7,5.9,6.9,3.6
1143,1001-1200,维戈大学,-,4,1.2,11,17.8,7,5
1144,1001-1200,里约热内卢州立大学(UERJ),-,1.2,1.6,18,3.4,9.1,5.8
1145,1001-1200,加布里埃莱·达嫩齐奥大学,-,3.5,1.6,3.7,23.5,3.2,1.2
1146,1001-1200,布拉维亚大学,-,1.8,2,8.6,1.3,13.7,17.8
1147,1001-1200,哈桑丁大学,-,1.9,2.3,11.1,1.4,10.1,5.6
1148,1001-1200,蒂米什瓦拉西部大学,-,6.1,1.1,5.7,2.8,10.6,4.3
1149,1001-1200,马来西亚沙巴大学（UMS）,-,4.4,5.5,7.3,3.8,14.5,9.7
1150,1001-1200,马来西亚沙捞越大学（UNIMAS）,-,7.9,19.7,13.5,3.3,11.6,8
1151,1001-1200,马来西亚登嘉楼大学,-,6.1,4.8,12.7,6.2,9,4.6
1152,1001-1200,费萨拉巴德农业大学,-,1.1,1.6,1.6,27.3,5.2,8.8
1153,1001-1200,阿肯色大学,-,4.8,2.1,7.2,12.4,7.6,6.5
1154,1001-1200,贝尔格莱德大学,-,5.1,1.4,3.9,6.5,16.7,9.1
1155,1001-1200,比亚韦斯托克大学,-,6.1,na,32.5,2.9,4.8,2.6
1156,1001-1200,布加勒斯特大学,-,2.5,1.2,8.8,4.1,16.8,7.8
1157,1001-1200,卡拉布里亚大学,-,3.6,2.5,3.3,28.7,5,1.8
1158,1001-1200,科伦坡大学,-,1.3,1,3.2,2.7,10.6,15.7
1159,1001-1200,德比大学,-,41.7,14.1,14.3,4,3.5,5.5
1160,1001-1200,加纳大学,-,2,2,3.6,5.2,9.4,7.2
1161,1001-1200,对外经济贸易大学,-,37,2.6,12.1,2.2,3.3,2.1
1162,1001-1200,卡拉奇大学,-,1.1,1.6,1.6,4.5,10.2,12.1
1163,1001-1200,库法大学,-,1.1,1.8,35.3,1.3,4.4,10.6
1164,1001-1200,拉脱维亚大学,-,8.9,6.2,5.3,9.5,12,13.9
1165,1001-1200,米什科尔茨大学,-,5.9,1.6,27.7,2.2,5.8,6.4
1166,1001-1200,蒙大拿大学,-,2.4,1,17,23.7,2.4,2.6
1167,1001-1200,孟买大学,-,1.1,1.2,1.6,16.1,9.7,17.4
1168,1001-1200,内罗毕大学,-,na,na,15.4,1.9,8.9,12
1169,1001-1200,尼斯大学,-,7.3,na,15.7,3.4,4.4,5.2
1170,1001-1200,北卡罗来纳大学夏洛特分校,-,7.8,4.7,6.5,14,6.1,5.5
1171,1001-1200,北德克萨斯大学,-,9.3,na,4.2,21.5,7.6,8.4
1172,1001-1200,诺维萨德大学,-,na,na,11,3.4,7.8,5.5
1173,1001-1200,俄斯特拉发大学,-,14.5,8,23.4,4,5.4,1.1
1174,1001-1200,帕尔杜比采大学,-,7.9,na,31,7.8,4.9,2.5
1175,1001-1200,佩拉德尼亚大学,-,1.5,1,18.1,2.3,7.2,9.2
1176,1001-1200,罗德岛大学,-,2.9,2.5,9.9,17.1,4.8,3.5
1177,1001-1200,里耶卡大学,-,1.6,1.3,29.1,3.5,5,2.6
1178,1001-1200,圣地亚哥大学,-,10.5,1.2,23.5,4,7.6,6.5
1179,1001-1200,旧金山大学,-,27.4,1.3,14.6,5,8,4.7
1180,1001-1200,西里西亚大学,-,3.7,na,13,7.9,5.4,4.4
1181,1001-1200,南阿拉巴马大学,-,2.5,na,18,6.5,4.9,5.6
1182,1001-1200,德克萨斯大学艾尔帕索分校,-,9,2.4,5.9,19.5,4.9,2.6
1183,1001-1200,西波希米亚大学,-,na,na,14,5.1,5.8,1.9
1184,1001-1200,伍尔弗汉普顿大学,-,59.2,20.7,10,7.8,3.2,2.5
1185,1001-1200,太平洋大学（加利福尼亚）,-,7.9,1.4,36.2,5.7,2.4,4.1
1186,1001-1200,阳光海岸大学,-,41.3,1.4,2.2,24.7,3.2,3
1187,1001-1200,西开普大学,-,6.5,10.5,4.1,20,7.6,6
1188,1001-1200,图西亚大学,-,5.1,3.4,8.1,24.4,3.1,1
1189,1001-1200,锡根大学,-,20.6,16.6,10.5,6.5,4.1,2.2
1190,1001-1200,里昂第三大学,-,32.4,10.3,1.7,1.7,8,4.9
1191,1001-1200,里昂第二大学,-,20.4,12.8,10,3.5,12,2.1
1192,1001-1200,巴黎楠泰尔大学,-,1.6,3.6,3.2,2.9,12.2,4
1193,1001-1200,普瓦捷大学,-,33,na,5.6,8.9,9,2.5
1194,1001-1200,图卢兹第二大学,-,24.9,15.2,1.1,3.5,10.9,2.4
1195,1001-1200,犹他州立大学,-,2,na,6.8,29.3,6.6,4.1
1196,1001-1200,俄斯特拉发技术大学,-,25.8,2.3,10.3,4,4.4,8.2
1197,1001-1200,维多利亚大学,-,2.6,5.9,9.8,12.7,8.3,8
1198,1001-1200,沃罗涅日州立大学,-,36.1,1.5,26,1.3,6.2,2.1
1199,1001-1200,华沙生命科学大学,-,9.1,1.3,23.7,4.9,7.7,6.5
1200,1001-1200,西密歇根大学,-,12.4,6.7,10.5,7.1,7.2,7
1201,1001-1200,青山大学,-,6.3,1.4,16,1.2,4.3,8.1
1202,1001-1200,元智大学,-,8.1,2,6.5,17,4.4,5.1
1203,1201+,唐州技术大学,-,15,1.1,11.8,1.4,3.8,2.7
1204,1201+,阿克登尼兹大学,-,1.1,1,4,3.1,4.4,2.9
1205,1201+,阿尔巴尔卡应用大学,-,6.2,2.4,5,2.1,3.4,4.9
1206,1201+,亚历山德鲁伊万库扎大学,-,9.4,1.6,4.9,3.6,8.3,5
1207,1201+,青山学院大学,-,3.4,7,5.8,2.7,5.7,12.1
1208,1201+,巴哈德丁扎卡里亚大学,-,1,na,1.6,11,4.9,5.6
1209,1201+,比尔泽特大学,-,5,5.5,5.3,2.2,5.3,7.9
1210,1201+,切库罗瓦大学,-,5.6,1.4,3.4,3.5,3.6,1.7
1211,1201+,大马士革大学,-,1.7,1.7,1,1.2,5.2,4.6
1212,1201+,杜库斯埃勒大学,-,1.1,1.3,3.2,3.5,4.4,4.5
1213,1201+,德国大学，开罗,-,1.2,5.6,8.7,2,6.5,6.6
1214,1201+,河内科技大学,-,1.2,1.5,4.1,5.2,7.8,6.4
1215,1201+,赫尔湾大学,-,2.2,1,5.1,1.5,5.8,7.2
1216,1201+,弘益大学,-,10,8.6,9.7,3.6,4.2,5
1217,1201+,瓜达拉哈拉耶稣会大学ITESO,-,1.4,1.5,na,1.1,5.6,8.1
1218,1201+,印第安纳州立大学,-,3.6,1.2,7.6,3.8,6,6.5
1219,1201+,近畿大学,-,1.9,4.2,11.6,5,3.9,5
1220,1201+,锡比乌大学,-,2.5,1.1,7.3,1.7,3.8,2.3
1221,1201+,俄罗斯技术大学（MIREA）,-,4,1.1,12.4,1.5,2.7,3.3
1222,1201+,曼苏拉大学,-,3,1.2,4.1,2.3,10.8,4.9
1223,1201+,马尔马拉大学,-,4.3,1.4,7.9,2.4,4.1,3.6
1224,1201+,莫斯科城市大学,-,4,1.2,7.5,1,2.6,1.7
1225,1201+,莫斯科国立师范大学,-,25.1,1.1,9,1.5,5.1,2.5
1226,1201+,国家研究型大学“莫斯科动力学院”,-,33,2.2,11,1.9,3.7,3.3
1227,1201+,国立台北大学,-,4.4,1.2,9.1,4,7.1,3.9
1228,1201+,巴拉那天主教大学,-,1.8,1.1,4.2,4,3.6,3.5
1229,1201+,俄罗斯国立农业大学,-,6.3,1.1,12.7,1.2,4.3,3.4
1230,1201+,SRM大学,-,2.1,1.1,12,2.8,4.1,7.3
1231,1201+,萨卡里亚大学,-,11.6,1.1,2.4,3.2,2.6,2.5
1232,1201+,上海财经大学,-,4,2.3,11.8,2.8,5,4
1233,1201+,芝浦工业大学,-,14.7,4.4,2.4,7.2,3.5,2.9
1234,1201+,东吴大学（台湾）,-,4.7,1.7,5.6,2,4.7,5.6
1235,1201+,西南大学,-,1.9,1.1,15.1,5.7,3.7,1.6
1236,1201+,苏恰瓦大学,-,37.9,1.2,7.5,3.9,3.6,1.8
1237,1201+,苏丹科技大学,-,2.1,1,5,1.2,3.5,3.2
1238,1201+,泰国苏兰拉工业大学,-,1.7,1.9,3.1,7.6,5.7,3.5
1239,1201+,台湾淡江大学,-,11,2.5,3.4,5.5,5.2,5.2
1240,1201+,坦达大学,-,2.1,1,4.8,2.1,4.7,2.1
1241,1201+,克卢日纳波卡技术大学,-,2.7,1,8.7,3.2,5.1,3.9
1242,1201+,格奥尔基·阿萨卡技术大学,-,6,na,2.6,7.3,6,4.3
1243,1201+,哈希姆大学,-,7.4,2.9,4.5,3,5.5,8.3
1244,1201+,澳洲圣母大学,-,2,1.4,2.9,7,4.1,6.8
1245,1201+,巴甫洛达尔国立大学,-,3.3,1.4,17.4,1.2,3.8,3.3
1246,1201+,罗马尼亚布拉索夫特兰西瓦大学,-,2.1,1.3,7.1,2.9,4.2,2.6
1247,1201+,东海大学,-,16,4.3,5.9,3.9,5.3,6
1248,1201+,尤卡坦自治大学,-,1.1,1.2,5.9,2.5,5.3,2.1
1249,1201+,南下加利福尼亚州自治大学,-,2.9,1.3,4.6,1.6,8.2,5.1
1250,1201+,智利大学,-,1.3,2.3,8.1,2.4,4.9,2.8
1251,1201+,克雷塔罗自治大学,-,1.7,2.1,8.8,2.6,4.8,4.3
1252,1201+,圣路易斯波托西自治大学,-,1.5,1.1,6.5,2.7,6.7,2.3
1253,1201+,自治大学德尔斯卡德莫雷洛斯,-,1.2,1.3,9.8,1.8,4.1,2.4
1254,1201+,贝纳多奥希金斯大学,-,2,2.4,10.4,2.1,2.8,1.3
1255,1201+,玻利维亚大学,-,3.4,1.3,3.5,1.1,4.4,6.5
1256,1201+,哥伦比亚天主教大学,-,1.3,1.8,5.9,1.3,4.3,8
1257,1201+,圣地亚哥瓜亚基尔天主教大学,-,1,1.6,2.5,1.2,3.2,7
1258,1201+,城北天主教大学,-,2.4,5.7,6.2,7,5.2,4.6
1259,1201+,圣安德烈市长大学,-,1.1,1.3,2.4,1.3,5.9,4
1260,1201+,洪都拉斯国立自治大学（UNAH）,-,na,1.1,3.7,1,4.3,6.5
1261,1201+,基尔梅斯国立大学,-,2.1,1.4,3.6,1.8,6.8,2.7
1262,1201+,图库曼国立大学,-,na,na,3.2,1.9,7.6,3
1263,1201+,德尔滨海国立大学,-,1.1,1.1,2.2,2.9,11,6.6
1264,1201+,国立大学戴尔苏尔,-,na,na,9.6,2.9,5.9,3.1
1265,1201+,洛约拉大学(USIL),-,1.6,1.5,1.9,1.1,5.3,13.9
1266,1201+,玻利瓦尔技术学院,-,1.3,2.6,3.4,2,3.5,5.7
1267,1201+,佩雷拉科技大学,-,1,1.1,4.2,1.8,4.3,8.7
1268,1201+,瓜纳华托大学,-,1.8,2.4,9.4,3.3,7.8,3.5
1269,1201+,拉萨尔大学,-,1.6,1.5,5.9,1.2,5.8,7.6
1270,1201+,德拉塞雷纳大学,-,1.4,3.2,1.9,8.3,3.4,3.3
1271,1201+,麦德林大学,-,2.3,1.5,5.5,1.8,6.6,10.3
1272,1201+,巴拿马大学（UP）,-,3,1.3,4.9,1.1,6.2,18.2
1273,1201+,索诺拉大学,-,1.7,1.5,5.5,1.8,4.1,2.2
1274,1201+,厄瓜多尔军事理工学院,-,1.1,1.8,11.1,1.8,4.4,8.7
1275,1201+,比奥比奥大学,-,1.4,3.3,3.7,3,7.6,5.7
1276,1201+,萨尔瓦多大学,-,7.8,na,13.5,1.1,4.1,13.6
1277,1201+,隆德里纳州立大学,-,1.3,1.2,17.1,4.2,3.1,4.3
1278,1201+,帕拉伊巴州联邦大学,-,1.3,1.3,14.5,3.2,3.6,3.2
1279,1201+,戈亚斯州联邦大学,-,1.3,1.5,8.4,4.2,3.4,1.6
1280,1201+,圣玛丽亚联邦大学,-,1.4,1.3,13.1,5.4,4.5,1.7
1281,1201+,安达拉斯大学,-,1.2,1,5.4,1.3,5.4,2.7
1282,1201+,梭罗大学,-,1.2,1.1,6.6,1.1,4.2,1.7
1283,1201+,马凯特大学,-,1.5,3.4,11.2,1.4,7.4,5.6
1284,1201+,北苏门答腊大学,-,2.3,1.2,15.7,1.3,5,3.2
1285,1201+,布加勒斯特理工大学,-,3.2,1.1,4.8,7,6.4,5.6
1286,1201+,蒂米什瓦拉理工大学,-,2.1,1,10.6,3.9,3.3,2.9
1287,1201+,巴比伦大学,-,1,1,17.6,1.8,3.6,6.4
1288,1201+,巴士拉大学,-,na,1,12.6,1.4,4.1,6.3
1289,1201+,喀土穆大学,-,1.7,na,12,2.5,5.9,7.6
1290,1201+,克拉古耶瓦茨大学,-,1.1,1,16.8,3.3,3.7,3.9
1291,1201+,萨拉热窝大学,-,3.5,na,4.3,2.1,4.6,3.8
1292,1201+,斯普利特大学,-,2.6,1.7,3,3.9,5.1,2.3
1293,1201+,贝尔加莫大学,-,7.8,5.9,3.9,5.2,4.7,2.8
1294,1201+,穆罕默德大学-阿格达尔大学,-,2.4,na,4.2,2.9,3,2.9
1295,1201+,卡昂大学,-,8.2,3.3,6.9,3.4,7.8,2.7
1296,1201+,突尼斯大学,-,na,na,19.1,1.5,5,1.4
1297,1201+,突尼斯萨尔瓦多马纳尔大学,-,1.9,1.2,14.5,3.5,5.5,1.6
1298,1201+,耶尔穆克大学,-,11,1.2,1.9,2.2,9.3,10.2
1299,1201+,伊尔第兹技术大学,-,8.9,1.1,6.1,5.4,5.6,10.5
1300,1201+,萨格吉奇大学,-,1.9,1,3.4,2.2,4.7,2.8
